"","Satisfaccion_con_pisos","Satisfaccion_con_muros_y_techos","Satisfaccion_con_pintura_y_recubrimientos","Satisfaccion_con_iluminacion_natural","Satisfaccion_con_ventilacion_natural","Satisfaccion_con_proteccion_contra_exterior","Satisfaccion_con_tamano_de_dormitorios","Satisfaccion_con_tamano_de_banos","Satisfaccion_con_tamano_de_cocina","Satisfaccion_con_tamano_de_sala_comedor","Satisfaccion_con_tamano_de_patio","D1","IndiceSatisfaccion"
"193",4,4,4,4,4,4,4,4,4,3,3,-1.03411512753099,34.1879040270782
"194",5,5,5,5,5,5,5,4,4,4,4,0.541651515495589,76.5874506350972
"195",5,4,3,5,5,5,5,5,5,5,5,0.91953874277137,86.7553566358745
"196",4,4,5,4,4,5,4,4,4,4,3,-0.547560387950722,47.2797539208941
"197",3,5,4,5,5,5,4,4,4,4,3,-0.202457812481319,56.5655151076255
"198",4,4,4,3,4,4,5,5,5,5,5,0.0989094464027877,64.6744792082015
"199",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"200",5,4,5,5,5,5,4,4,5,5,4,0.566706780352647,77.261618904101
"201",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"202",5,5,5,5,5,5,4,4,4,4,4,0.320140954871473,70.62721065863
"203",5,5,5,4,5,5,5,5,5,5,5,1.20646317183558,94.4757039074229
"204",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"205",4,4,4,5,4,4,5,5,4,5,4,-0.0364211287331274,61.0331056245189
"206",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"207",3,3,2,4,5,3,3,3,2,4,3,-1.45842883546873,22.7707891162226
"208",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"209",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"210",5,5,5,5,5,4,5,5,5,5,5,1.19384936287918,94.1363009995631
"211",3,5,4,5,5,5,5,5,5,5,5,0.925569330709909,86.9176231716623
"212",3,5,3,5,5,5,5,5,5,5,5,0.840106420282651,84.6180512966303
"213",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"214",5,5,5,5,4,5,5,5,5,5,5,1.20467194569813,94.427506938388
"215",4,5,5,5,5,5,5,5,5,5,5,1.20434488332619,94.4187065894631
"216",5,5,3,3,5,5,5,5,5,5,5,0.857365596297393,85.0824482560985
"217",5,4,4,4,4,5,5,5,5,5,5,0.59259275752041,77.9581393567174
"218",5,4,4,5,5,5,5,5,5,5,2,0.783236715374024,83.0878439435756
"219",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"220",3,5,5,5,5,5,5,5,5,5,3,0.899105513885177,86.2055546430817
"221",2,4,5,5,5,5,5,4,4,5,5,0.40122806943774,72.8090419015853
"222",5,4,4,5,5,5,5,5,5,5,5,1.00500165319863,89.0549285109065
"223",4,3,4,5,5,3,5,5,5,5,4,0.221029832782901,67.9604029438175
"224",4,4,3,5,5,5,5,5,5,5,4,0.526742773123728,76.1862973806734
"225",2,2,2,5,5,4,5,5,5,5,5,0.132672324754856,65.582945408222
"226",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"227",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"228",2,2,3,5,5,4,5,3,3,2,5,-0.740648269943325,42.0842900568637
"229",3,3,2,5,5,5,4,4,4,3,3,-0.723848544294692,42.5363244705844
"230",4,3,5,5,5,5,5,5,5,4,4,0.478698260385515,74.8935516774195
"231",5,5,5,5,5,4,5,5,5,5,4,1.00848051651131,89.1485351548989
"232",5,3,3,5,5,5,5,5,5,5,5,0.825161148845177,84.2159151455149
"233",5,5,5,4,5,5,3,3,5,5,5,0.586391014428054,77.7912675064603
"234",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"235",3,5,5,5,5,4,4,4,4,4,5,-0.00331439738363484,61.9239167132699
"236",4,5,2,5,5,5,5,4,4,5,5,0.416510137196849,73.220240315441
"237",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"238",5,5,5,3,3,5,5,4,3,5,3,0.0948187904271275,64.5644109062325
"239",5,4,5,5,5,5,5,5,5,5,5,1.2003027741985,94.3099445496568
"240",5,5,3,4,4,5,5,5,5,5,4,0.533230233132751,76.3608570873644
"241",5,5,5,5,5,5,5,4,5,5,4,0.999686573384229,88.9119143309115
"242",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"243",4,4,3,4,4,5,4,4,3,3,2,-0.988690485415671,35.4101562171752
"244",2,2,3,5,5,5,5,5,5,5,5,0.407344988680498,72.9736313753367
"245",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"246",5,5,4,5,4,5,5,5,5,5,5,1.00937082469826,89.1724908996377
"247",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"248",4,5,2,5,5,4,5,4,5,5,5,0.422191601119551,73.3731128841417
"249",5,5,4,4,4,5,5,5,5,5,4,0.618693143560009,78.6604289623964
"250",3,3,2,4,4,2,3,3,3,3,3,-1.74773999361686,14.9862215291331
"251",4,4,4,4,4,5,5,5,5,5,5,0.385165634240635,72.3768459461805
"252",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"253",4,4,4,4,4,4,3,4,3,3,4,-1.1716462330713,30.487320222227
"254",4,5,5,5,5,5,4,5,4,5,5,0.759230215052584,82.4418950438582
"255",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"256",5,5,5,5,5,5,3,3,3,3,3,-0.048466212552622,60.7090055459557
"257",4,5,3,4,4,5,5,5,5,5,4,0.325803109852976,70.7795636768275
"258",5,5,5,5,5,5,5,5,3,5,5,1.10113280777226,91.6415534955544
"259",4,3,4,4,4,4,5,5,5,5,5,0.0728653965876515,63.973705455384
"260",4,5,5,3,4,4,3,3,5,4,4,-0.534192154204416,47.6394563249916
"261",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"262",5,5,5,5,5,5,5,4,5,5,4,0.999686573384229,88.9119143309115
"263",5,5,5,5,4,5,5,5,5,5,2,0.98290700787353,88.4604223710571
"264",3,3,2,5,5,3,5,5,5,5,5,0.180711316908249,66.8755425677214
"265",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"266",3,3,3,5,5,3,4,3,3,3,3,-1.13588477623865,31.4495626725649
"267",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"268",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"269",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"270",3,4,3,5,4,5,4,4,4,3,3,-0.77982099107748,41.0302598660098
"271",4,4,4,4,5,4,3,3,4,3,4,-0.96246398509596,36.1158392112859
"272",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"273",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"274",4,4,4,5,5,3,5,5,5,3,3,-0.0287505898403942,61.2394987302051
"275",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"276",4,5,4,5,5,5,5,5,5,5,4,0.823674915958453,84.1759247060486
"277",4,4,4,4,4,4,5,5,5,5,2,-0.054521947310759,60.5460623784126
"278",4,5,5,5,5,5,5,5,5,5,5,1.20434488332619,94.4187065894631
"279",4,4,4,4,5,5,5,5,5,5,4,0.4068968487806,72.9615731631283
"280",4,3,4,5,5,5,3,3,3,4,4,-0.647314216855588,44.595652733261
"281",5,4,5,5,5,5,5,5,5,5,4,1.01493392783063,89.3221787049926
"282",5,5,5,3,5,5,5,5,5,5,5,1.13812962772452,92.6370361698808
"283",2,5,3,5,5,5,5,5,5,5,5,0.782253964921439,83.0614008317082
"284",5,4,4,4,4,4,4,4,4,4,4,-0.716960937940873,42.7216510149105
"285",3,3,3,2,4,3,5,4,3,2,4,-1.3316331130253,26.1825132869486
"286",3,3,3,3,3,3,4,4,4,4,4,-1.41200220729405,24.0200019954625
"287",4,4,4,4,4,4,5,5,5,4,5,-0.0671879597253039,60.205254819067
"288",4,4,5,4,3,5,5,5,5,5,5,0.503376702363123,75.5575806790952
"289",4,4,4,5,5,5,5,5,5,5,5,0.797574529918853,83.4736351003696
"290",5,5,5,5,5,5,4,4,4,4,4,0.320140954871473,70.62721065863
"291",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"292",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"293",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"294",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"295",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"296",5,5,5,5,5,5,5,5,5,5,2,1.19000706878136,94.0329154326691
"297",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"298",4,5,5,5,5,5,5,5,4,5,5,0.980740775676699,88.4021350203255
"299",3,4,3,5,5,5,5,5,5,5,3,0.406872250050582,72.9609112789562
"300",4,4,3,4,5,5,3,3,3,5,5,-0.423908571520023,50.6068842273523
"301",4,5,4,5,5,5,5,5,4,5,5,0.785439654676828,83.1471189815751
"302",5,5,5,5,3,5,5,5,3,5,5,0.816942693987044,83.9947791281069
"303",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"304",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"305",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"306",5,5,4,5,5,3,5,3,5,2,4,0.114872366333009,65.1039974814666
"307",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"308",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"309",3,4,4,4,4,4,4,4,4,4,3,-1.04425858429379,33.9149715026564
"310",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"311",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"312",5,4,4,5,5,4,5,5,5,5,5,0.787079009471838,83.1912295104696
"313",3,3,3,4,4,3,4,4,4,4,4,-1.26657861030561,27.9329510388401
"314",5,4,5,5,5,5,5,5,4,4,3,0.520502778485256,76.0183962865117
"315",3,2,4,5,3,2,3,4,4,4,5,-1.0792865230259,32.9724660070443
"316",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"317",3,4,4,4,4,4,4,4,4,4,4,-1.00786249283706,34.8942902253231
"318",5,5,4,3,5,4,5,5,5,4,5,0.490474912758712,75.210429004017
"319",4,5,4,4,4,4,5,5,5,5,5,0.378712222921311,72.2032023960868
"320",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"321",4,5,4,5,4,4,4,4,4,4,4,-0.507609994042795,48.3547091472939
