"","vid","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_5_6","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","p2distance.3","estratos...stratumID..."
"31764","4952_5",4,4,4,4,4,4,4,4,3,4,4,4,25.0426331565356,"Muy Alta"
"31765","4953_1",1,1,2,2,2,1,3,1,3,1,3,3,7.89028415139163,"Muy baja"
"31766","4953_2",4,4,4,4,4,4,1,4,4,3,4,3,22.5910204196904,"Muy Alta"
"31767","4953_3",4,4,4,4,4,4,1,1,3,1,3,1,15.954874289408,"Media"
"31768","4953_4",4,4,4,4,4,4,4,4,3,2,3,3,22.2469117012598,"Muy Alta"
"31769","4953_5",4,2,3,4,3,3,1,4,2,3,4,2,16.5862780931161,"Media"
"31770","4954_1",2,4,4,4,4,2,1,1,3,2,1,1,12.7480020826522,"Baja"
"31771","4954_2",4,4,4,4,4,4,1,2,4,4,3,2,20.4290980003476,"Alta"
"31772","4954_3",2,3,2,2,4,2,3,4,4,3,4,3,17.7743774608473,"Media"
"31773","4954_4",1,4,3,4,4,2,3,4,4,4,4,2,20.1085347516427,"Alta"
"31774","4955_1",4,2,2,4,4,2,3,4,4,3,3,1,17.7268674662739,"Media"
"31775","4955_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31776","4955_3",4,4,4,4,4,3,1,4,3,3,1,1,17.9337360506114,"Media"
"31777","4955_4",4,4,4,4,4,2,1,2,4,2,4,3,19.2929410696154,"Alta"
"31778","4955_5",2,2,2,4,4,2,1,4,2,3,3,1,13.0751349013841,"Baja"
"31779","4956_1",2,3,3,3,3,3,1,4,4,4,4,3,18.387082039459,"Media"
"31780","4956_2",3,4,3,4,4,3,3,2,1,1,2,1,13.4393991614307,"Baja"
"31781","4956_4",4,4,4,4,4,4,4,4,3,3,4,2,23.3007987885394,"Muy Alta"
"31782","4956_5",2,3,2,4,4,4,2,3,4,4,3,3,18.1456993777909,"Media"
"31783","4957_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31784","4957_2",4,4,4,4,4,1,1,4,3,4,4,3,21.1378827572735,"Alta"
"31785","4957_4",4,4,4,4,4,1,4,4,4,2,4,4,23.0650216224316,"Muy Alta"
"31786","4957_5",4,2,4,4,4,3,4,4,4,4,4,4,23.8508738048455,"Muy Alta"
"31787","4958_1",3,4,4,4,2,1,4,3,4,4,4,3,21.1122994491918,"Alta"
"31788","4958_2",4,4,4,4,1,1,1,4,4,4,4,3,19.9092930891727,"Alta"
"31789","4958_3",4,4,3,3,3,3,4,4,4,4,4,4,23.2781875578386,"Muy Alta"
"31790","4958_4",3,4,4,4,2,1,4,4,2,4,2,2,18.1202364329957,"Media"
"31791","4958_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31792","4959_1",4,4,4,4,4,4,4,4,4,4,4,2,24.939672298492,"Muy Alta"
"31793","4959_2",3,3,3,3,3,3,4,4,4,4,4,4,21.7111492819899,"Alta"
"31794","4959_3",1,1,3,1,1,1,2,1,4,4,4,2,10.4220176716663,"Muy baja"
"31795","4959_4",3,1,1,1,1,1,2,1,4,4,4,4,10.9430261289554,"Muy baja"
"31796","4959_5",4,4,4,4,4,4,1,1,4,4,4,4,21.3708594443142,"Alta"
"31797","4960_1",4,4,4,4,4,3,1,3,4,4,2,2,20.0236759096917,"Alta"
"31798","4960_2",2,4,3,4,4,4,1,2,1,1,3,1,12.5281834523463,"Baja"
"31799","4960_3",3,1,2,4,4,1,1,3,4,4,3,3,15.2469107756618,"Media"
"31800","4960_4",2,4,3,4,4,1,4,4,4,4,2,2,19.5426448584863,"Alta"
"31801","4960_5",4,4,4,4,4,1,2,1,4,4,1,1,16.904175237737,"Media"
"31802","4961_1",4,4,4,4,4,4,4,4,4,4,4,3,25.4303673933309,"Muy Alta"
"31803","4961_2",4,4,4,4,4,4,3,3,4,4,3,3,23.129495041579,"Muy Alta"
"31804","4961_3",2,3,3,2,3,2,3,2,4,3,3,3,15.625026510011,"Media"
"31805","4961_4",3,3,3,4,4,4,1,4,4,4,2,1,18.2500999063181,"Media"
"31806","4961_5",1,4,3,2,3,3,1,1,3,4,1,1,11.2508236205006,"Baja"
"31807","4962_1",4,4,4,4,4,4,4,4,4,4,2,2,23.371396290892,"Muy Alta"
"31808","4962_2",4,4,4,4,4,4,4,4,1,4,4,4,23.2857744932672,"Muy Alta"
"31809","4962_3",4,4,4,4,4,4,3,1,1,3,4,1,17.8889771834579,"Media"
"31810","4962_4",3,4,3,4,4,4,1,4,1,3,4,1,17.2352126641757,"Media"
"31811","4962_5",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"31812","4963_1",3,3,3,3,2,2,4,2,2,1,1,1,11.0535347858817,"Muy baja"
"31813","4963_2",4,4,4,4,1,3,4,1,4,4,4,2,19.9163022138564,"Alta"
"31814","4963_4",4,4,4,3,3,1,4,1,4,4,4,3,20.4107507602964,"Alta"
"31815","4963_5",3,4,3,3,2,2,2,2,2,3,2,2,13.2758899677548,"Baja"
"31816","4964_1",4,4,4,4,3,3,4,3,4,4,2,1,20.9095439435966,"Alta"
"31817","4964_3",2,3,4,4,3,2,2,2,3,4,4,3,17.6045203982618,"Media"
"31818","4964_4",2,3,3,3,3,3,2,2,2,2,1,1,10.8209649178942,"Muy baja"
"31819","4964_5",4,4,3,3,3,2,1,1,1,2,1,1,10.3022580301598,"Muy baja"
"31820","4965_1",3,3,4,4,4,4,4,3,4,2,4,4,22.009369106173,"Alta"
"31821","4965_2",4,4,4,4,4,4,4,3,4,4,4,3,24.6066006438197,"Muy Alta"
"31822","4965_3",3,3,3,3,3,3,3,3,4,4,4,2,19.2130247443603,"Alta"
"31823","4965_5",4,4,4,4,4,3,4,2,4,4,2,2,21.2788119555026,"Alta"
"31824","4966_1",3,4,3,4,4,2,1,1,2,3,1,1,12.3998260631422,"Baja"
"31825","4966_2",4,3,4,3,4,2,4,2,2,4,1,1,16.4786762249282,"Media"
"31826","4966_4",2,4,3,4,4,2,1,4,4,4,4,1,18.9863738122925,"Alta"
"31827","4966_5",3,3,3,4,4,2,3,1,1,1,1,1,10.5738746482738,"Muy baja"
"31828","4967_1",4,4,4,4,4,4,2,2,4,2,3,3,20.0918723369902,"Alta"
"31829","4967_2",3,3,2,4,2,2,4,3,4,1,4,2,16.0034332951572,"Media"
"31830","4967_3",3,4,4,4,4,3,1,4,4,2,4,2,20.140360957796,"Alta"
"31831","4967_4",3,3,2,3,4,2,2,1,2,2,3,1,11.59257214,"Baja"
"31832","4967_5",4,3,3,4,3,2,2,1,3,1,1,1,11.6898953988932,"Baja"
"31833","4968_1",3,4,4,4,3,3,2,2,2,4,2,1,16.1885139815656,"Media"
"31834","4968_3",3,4,3,4,4,3,1,4,4,3,4,4,20.8975351072278,"Alta"
"31835","4968_4",3,3,3,4,4,2,4,3,4,4,4,4,21.6554955715114,"Alta"
"31836","4969_1",4,4,4,4,4,3,2,1,3,4,3,1,18.484123586437,"Alta"
"31837","4969_2",3,4,4,4,4,2,1,2,4,4,4,4,20.5500551687212,"Alta"
"31838","4969_3",4,4,4,4,3,3,3,3,4,4,2,1,20.2165763451559,"Alta"
"31839","4969_4",4,4,4,4,4,3,4,1,4,4,3,2,21.2391832097914,"Alta"
"31840","4969_5",4,4,4,4,3,2,2,1,4,4,3,1,18.2151624151258,"Media"
"31841","4970_1",4,4,2,2,2,2,3,3,4,4,4,4,19.1185782795555,"Alta"
"31842","4970_2",3,2,3,3,1,2,3,3,2,3,2,3,12.95584189701,"Baja"
"31843","4970_3",4,4,4,4,3,3,2,1,3,1,2,2,15.2070084759421,"Media"
"31844","4970_4",2,4,4,3,2,2,4,4,4,4,4,3,21.1158234738786,"Alta"
"31845","4970_5",4,4,4,4,1,4,4,4,1,3,3,2,18.652783121736,"Alta"
"31846","4971_1",4,4,4,4,4,4,4,4,4,4,4,2,24.939672298492,"Muy Alta"
"31847","4971_2",4,4,4,4,4,4,3,4,4,4,4,4,25.2280948897291,"Muy Alta"
