uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
4483_5_1,4483_5,4483,5,1,2,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,280,4483,295
4485_3_1,4485_3,4485,3,1,1,2,NA,3,4,NA,5,1,1,NA,NA,4,1,NA,17,3,280,4485,324
4486_5_1,4486_5,4486,5,1,1,1,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,3,280,4486,297
4487_15_1,4487_15,4487,15,1,1,1,NA,2,4,NA,5,1,4,NA,NA,1,1,NA,17,3,284,4487,361
4487_17_1,4487_17,4487,17,1,1,1,NA,2,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,3,284,4487,361
4487_18_1,4487_18,4487,18,1,1,1,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,3,284,4487,361
4487_20_1,4487_20,4487,20,1,1,2,NA,2,4,NA,4,1,1,NA,NA,1,2,1,17,3,284,4487,361
4488_1_1,4488_1,4488,1,1,1,1,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,3,280,4488,231
4488_3_1,4488_3,4488,3,1,1,1,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,17,3,280,4488,231
4488_5_2,4488_5,4488,5,2,1,2,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,280,4488,231
4492_3_1,4492_3,4492,3,1,1,1,NA,2,3,NA,2,NA,5,NA,NA,5,1,NA,17,3,285,4492,290
4492_11_1,4492_11,4492,11,1,1,2,1,4,4,NA,5,1,1,NA,NA,1,1,NA,17,3,285,4492,290
4492_13_1,4492_13,4492,13,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,285,4492,290
4492_18_1,4492_18,4492,18,1,1,3,NA,4,3,NA,5,NA,2,NA,NA,1,1,NA,17,3,285,4492,290
4492_19_1,4492_19,4492,19,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,285,4492,290
4492_20_1,4492_20,4492,20,1,1,3,NA,2,4,NA,5,1,1,7,NA,2,2,2,17,3,285,4492,290
4493_7_1,4493_7,4493,7,1,1,1,NA,2,4,NA,5,1,1,7,NA,1,1,NA,17,3,285,4493,234
4493_8_1,4493_8,4493,8,1,1,3,NA,2,4,NA,5,1,1,7,NA,1,1,NA,17,3,285,4493,234
4493_10_1,4493_10,4493,10,1,1,2,NA,3,4,NA,5,1,1,NA,NA,2,2,1,17,3,285,4493,234
4493_12_1,4493_12,4493,12,1,1,2,NA,3,4,NA,1,1,1,NA,NA,1,1,NA,17,3,285,4493,234
4493_19_1,4493_19,4493,19,1,1,1,NA,3,4,NA,3,1,4,7,NA,3,1,NA,17,3,285,4493,234
4494_4_1,4494_4,4494,4,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,285,4494,108
4494_7_1,4494_7,4494,7,1,1,4,NA,4,4,NA,5,1,1,NA,NA,1,2,1,17,3,285,4494,108
4494_12_1,4494_12,4494,12,1,1,6,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,285,4494,108
4494_14_1,4494_14,4494,14,1,1,4,NA,1,2,NA,4,NA,2,NA,NA,1,2,1,17,3,285,4494,108
4494_19_1,4494_19,4494,19,1,1,1,NA,3,4,NA,5,1,9,NA,NA,1,2,3,17,3,285,4494,108
4494_20_1,4494_20,4494,20,1,1,3,NA,3,4,NA,5,1,1,NA,NA,1,2,1,17,3,285,4494,108
4497_3_1,4497_3,4497,3,1,1,3,NA,2,3,NA,5,NA,2,NA,NA,3,2,3,17,3,275,4497,363
4498_5_1,4498_5,4498,5,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,275,4498,333
4499_1_1,4499_1,4499,1,1,1,3,4,2,4,NA,5,1,1,NA,NA,2,2,1,17,3,275,4499,308
4499_1_1,4499_1,4499,1,1,2,4,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,275,4499,308
4499_4_1,4499_4,4499,4,1,1,3,NA,2,4,NA,5,1,1,5,NA,1,1,NA,17,3,275,4499,308
4500_2_1,4500_2,4500,2,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,3,275,4500,294
4503_1_1,4503_1,4503,1,1,1,1,2,2,4,NA,5,1,4,NA,NA,2,2,8,17,3,283,4503,265
4503_2_1,4503_2,4503,2,1,1,4,5,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4503,265
4503_7_1,4503_7,4503,7,1,1,1,2,2,4,NA,5,1,5,NA,NA,1,2,8,17,3,283,4503,265
4503_10_1,4503_10,4503,10,1,1,2,3,1,4,NA,5,1,1,NA,NA,2,2,4,17,3,283,4503,265
4503_10_1,4503_10,4503,10,1,2,3,NA,3,4,NA,5,1,1,NA,NA,3,2,2,17,3,283,4503,265
4504_3_1,4504_3,4504,3,1,1,1,NA,2,4,NA,5,1,1,NA,NA,9,2,2,17,3,282,4504,248
4504_6_1,4504_6,4504,6,1,1,1,NA,3,4,NA,5,1,1,NA,NA,2,2,2,17,3,282,4504,248
4505_20_1,4505_20,4505,20,1,1,3,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,3,285,4505,208
4506_7_1,4506_7,4506,7,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,285,4506,631
4506_12_1,4506_12,4506,12,1,1,3,6,2,4,NA,5,1,4,NA,NA,1,2,8,17,3,285,4506,631
4506_17_1,4506_17,4506,17,1,1,1,2,2,4,NA,5,1,1,NA,NA,1,2,1,17,3,285,4506,631
4507_1_1,4507_1,4507,1,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,282,4507,285
4507_4_1,4507_4,4507,4,1,1,4,2,1,4,NA,5,1,1,NA,NA,1,2,1,17,3,282,4507,285
4507_4_1,4507_4,4507,4,1,2,2,NA,1,4,NA,5,1,1,NA,NA,1,2,1,17,3,282,4507,285
4507_10_1,4507_10,4507,10,1,1,3,NA,2,4,NA,5,1,7,NA,NA,1,2,9,17,3,282,4507,285
4507_11_1,4507_11,4507,11,1,1,1,NA,2,2,NA,1,NA,1,2,NA,2,1,NA,17,3,282,4507,285
4507_16_1,4507_16,4507,16,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,282,4507,285
4508_3_1,4508_3,4508,3,1,1,1,NA,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,3,276,4508,231
4508_5_1,4508_5,4508,5,1,1,2,NA,4,4,NA,5,1,5,NA,NA,2,1,NA,17,3,276,4508,231
4509_1_1,4509_1,4509,1,1,1,1,NA,3,4,NA,8,1,1,4,NA,1,2,1,17,3,283,4509,672
4509_10_1,4509_10,4509,10,1,1,4,NA,3,4,NA,5,1,1,NA,NA,1,2,1,17,3,283,4509,672
4510_5_1,4510_5,4510,5,1,1,4,NA,1,2,NA,5,NA,1,2,NA,9,2,1,17,3,283,4510,156
4510_17_1,4510_17,4510,17,1,1,1,NA,4,4,NA,5,1,3,NA,NA,3,2,2,17,3,283,4510,156
4512_11_1,4512_11,4512,11,1,1,2,3,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4512,253
4512_15_1,4512_15,4512,15,1,1,6,NA,3,4,NA,5,1,1,NA,NA,9,1,NA,17,3,283,4512,253
4512_17_1,4512_17,4512,17,1,1,2,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,17,3,283,4512,253
4512_19_1,4512_19,4512,19,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4512,253
4512_20_1,4512_20,4512,20,1,1,3,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,17,3,283,4512,253
4513_9_1,4513_9,4513,9,1,1,1,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,3,283,4513,303
4513_10_1,4513_10,4513,10,1,1,2,1,3,4,NA,5,1,1,NA,NA,9,2,9,17,3,283,4513,303
4514_4_1,4514_4,4514,4,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4514,236
4514_8_1,4514_8,4514,8,1,1,4,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4514,236
4514_12_2,4514_12,4514,12,2,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4514,236
4514_13_1,4514_13,4514,13,1,1,1,NA,1,3,NA,5,NA,9,NA,NA,9,1,NA,17,3,283,4514,236
4514_17_1,4514_17,4514,17,1,1,1,NA,3,2,NA,7,NA,1,NA,NA,2,2,1,17,3,283,4514,236
4514_19_1,4514_19,4514,19,1,1,3,NA,3,4,NA,5,1,1,NA,NA,9,2,9,17,3,283,4514,236
4515_2_1,4515_2,4515,2,1,1,1,NA,3,4,NA,5,1,1,NA,NA,1,2,3,17,3,275,4515,350
4516_4_1,4516_4,4516,4,1,1,2,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,17,3,275,4516,197
4517_1_1,4517_1,4517,1,1,1,4,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,3,275,4517,410
4517_4_1,4517_4,4517,4,1,1,1,NA,1,4,NA,3,1,1,NA,NA,9,2,9,17,3,275,4517,410
4518_2_1,4518_2,4518,2,1,1,1,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,280,4518,314
4518_5_1,4518_5,4518,5,1,1,1,NA,2,3,NA,1,NA,1,NA,NA,3,2,1,17,3,280,4518,314
4518_5_1,4518_5,4518,5,1,2,1,NA,2,3,NA,1,NA,1,NA,NA,3,2,1,17,3,280,4518,314
4519_10_1,4519_10,4519,10,1,1,1,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,283,4519,260
4519_14_1,4519_14,4519,14,1,1,6,NA,5,4,NA,5,1,1,NA,NA,1,1,NA,17,3,283,4519,260
4520_1_1,4520_1,4520,1,1,1,5,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,283,4520,269
4520_5_1,4520_5,4520,5,1,1,4,NA,2,4,NA,5,1,1,4,NA,2,1,NA,17,3,283,4520,269
4520_17_1,4520_17,4520,17,1,1,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,3,283,4520,269
4522_4_1,4522_4,4522,4,1,1,1,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,270,4522,202
4523_3_1,4523_3,4523,3,1,1,1,3,5,4,NA,5,1,1,NA,NA,1,2,1,17,1,270,4523,399
4524_1_1,4524_1,4524,1,1,1,1,2,4,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,1,269,4524,221
4524_3_1,4524_3,4524,3,1,1,4,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4524,221
4524_3_1,4524_3,4524,3,1,2,2,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4524,221
4524_3_1,4524_3,4524,3,1,3,5,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4524,221
4527_1_1,4527_1,4527,1,1,1,2,NA,5,4,NA,5,1,1,NA,NA,1,1,NA,17,4,287,4527,163
4527_5_1,4527_5,4527,5,1,1,2,NA,3,4,NA,2,1,1,2,NA,1,1,NA,17,4,287,4527,163
4527_6_1,4527_6,4527,6,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,17,4,287,4527,163
4527_6_2,4527_6,4527,6,2,1,2,NA,3,4,NA,5,1,1,NA,NA,1,1,NA,17,4,287,4527,163
4527_9_2,4527_9,4527,9,2,1,1,NA,2,2,NA,5,NA,1,NA,NA,2,2,1,17,4,287,4527,163
4527_11_1,4527_11,4527,11,1,1,4,NA,4,2,NA,1,NA,1,NA,NA,1,2,1,17,4,287,4527,163
4527_11_2,4527_11,4527,11,2,1,2,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,17,4,287,4527,163
4527_13_1,4527_13,4527,13,1,1,1,NA,2,4,NA,5,1,1,NA,NA,2,2,1,17,4,287,4527,163
4527_16_1,4527_16,4527,16,1,1,2,NA,2,4,NA,3,1,4,NA,NA,1,1,NA,17,4,287,4527,163
4527_17_1,4527_17,4527,17,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,287,4527,163
4527_18_2,4527_18,4527,18,2,1,2,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,287,4527,163
4527_18_3,4527_18,4527,18,3,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,287,4527,163
4528_10_1,4528_10,4528,10,1,1,1,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,4,287,4528,831
4528_11_1,4528_11,4528,11,1,1,2,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,4,287,4528,831
4528_11_1,4528_11,4528,11,1,2,3,NA,2,4,NA,5,1,1,NA,NA,2,2,2,17,4,287,4528,831
4528_17_1,4528_17,4528,17,1,1,2,3,2,4,NA,5,1,3,NA,NA,1,2,1,17,4,287,4528,831
