vid,ingreso_viv,mes_info,mes_fov,mes_insp,mes_fp,mes_onl,mes_fa,gas_tot,prop_gasto
1048_7,16600,NA,NA,NA,NA,NA,NA,0,0
1048_8,5600,NA,NA,NA,NA,NA,NA,0,0
1048_9,8000,NA,NA,NA,NA,NA,NA,0,0
1049_11,NA,NA,NA,NA,NA,NA,NA,0,NA
1049_12,5800,NA,NA,NA,NA,NA,NA,0,0
1049_13,11000,NA,NA,NA,NA,NA,NA,0,0
1049_14,NA,NA,NA,NA,NA,NA,NA,0,NA
1049_15,18000,NA,NA,NA,NA,NA,NA,0,0
1049_16,NA,NA,NA,NA,NA,NA,NA,0,NA
1049_17,NA,NA,NA,NA,NA,NA,NA,0,NA
1049_18,NA,NA,NA,NA,NA,NA,NA,0,NA
1049_19,16000,NA,NA,NA,NA,NA,NA,0,0
1049_20,NA,NA,NA,NA,NA,NA,NA,0,NA
1049_3,12000,NA,NA,NA,NA,NA,NA,0,0
1049_4,18000,NA,NA,NA,NA,NA,NA,0,0
1049_5,18000,NA,NA,NA,NA,NA,NA,0,0
1049_6,8000,NA,NA,NA,NA,NA,NA,0,0
1049_7,2600,NA,NA,NA,NA,NA,NA,0,0
1049_8,16000,NA,NA,NA,NA,NA,NA,0,0
1049_9,10400,NA,NA,NA,NA,NA,NA,0,0
105_1,NA,NA,NA,NA,NA,NA,NA,0,NA
105_2,NA,NA,NA,NA,NA,NA,NA,0,NA
105_3,NA,NA,NA,NA,NA,NA,NA,0,NA
105_4,800,NA,NA,NA,NA,NA,NA,0,0
105_5,5600,NA,NA,NA,NA,NA,NA,0,0
1050_1,29200,NA,NA,NA,NA,NA,NA,0,0
1050_10,12800,NA,NA,NA,NA,NA,NA,0,0
1050_11,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_12,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_13,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_14,5200,NA,NA,NA,NA,NA,NA,0,0
1050_15,6000,NA,NA,NA,NA,NA,NA,0,0
1050_16,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_17,10000,NA,NA,NA,NA,NA,NA,0,0
1050_19,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_20,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_6,NA,NA,NA,NA,NA,NA,NA,0,NA
1050_7,9000,NA,NA,NA,NA,NA,NA,0,0
1050_9,4000,NA,NA,NA,NA,NA,NA,0,0
1051_1,2400,NA,NA,NA,NA,NA,NA,0,0
1051_10,4000,NA,NA,NA,NA,NA,NA,0,0
1051_11,6800,NA,NA,NA,NA,NA,NA,0,0
1051_12,4000,NA,NA,NA,NA,NA,NA,0,0
1051_13,4000,NA,NA,NA,NA,NA,NA,0,0
1051_14,2400,NA,NA,NA,NA,NA,NA,0,0
1051_15,1200,NA,NA,NA,NA,NA,NA,0,0
1051_16,2000,NA,NA,NA,NA,NA,NA,0,0
1051_17,NA,NA,NA,NA,NA,NA,NA,0,NA
1051_18,NA,NA,NA,NA,NA,NA,NA,0,NA
1051_19,1600,NA,NA,NA,NA,NA,NA,0,0
1051_2,2800,NA,NA,NA,NA,NA,NA,0,0
1051_20,4400,NA,NA,NA,NA,NA,NA,0,0
1051_3,3000,NA,NA,NA,NA,NA,NA,0,0
1051_4,7000,NA,NA,NA,NA,NA,NA,0,0
1051_5,3200,NA,NA,NA,NA,NA,NA,0,0
1051_6,200,NA,NA,NA,NA,NA,NA,0,0
1051_7,6000,NA,NA,NA,NA,NA,NA,0,0
1051_8,NA,NA,NA,NA,NA,NA,NA,0,NA
1051_9,5200,NA,NA,NA,NA,NA,NA,0,0
1052_1,5600,NA,NA,NA,NA,NA,NA,0,0
1052_10,2680,NA,NA,NA,NA,NA,NA,0,0
1052_11,3600,NA,NA,NA,NA,NA,NA,0,0
1052_13,14000,NA,NA,NA,NA,NA,NA,0,0
1052_14,9000,NA,NA,NA,NA,NA,NA,0,0
1052_15,10000,NA,NA,NA,NA,NA,NA,0,0
1052_16,7200,NA,NA,NA,NA,NA,NA,0,0
1052_17,2000,NA,NA,NA,NA,NA,NA,0,0
1052_18,6000,NA,NA,NA,NA,NA,NA,0,0
1052_19,3200,NA,NA,NA,NA,NA,NA,0,0
1052_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1052_3,2000,NA,NA,NA,NA,NA,NA,0,0
1052_4,6000,NA,NA,NA,NA,NA,NA,0,0
1052_5,6400,NA,NA,NA,NA,NA,NA,0,0
1052_6,1200,NA,NA,NA,NA,NA,NA,0,0
1052_8,3600,NA,NA,NA,NA,NA,NA,0,0
1052_9,NA,NA,NA,NA,NA,NA,NA,0,NA
1053_1,5600,NA,NA,NA,NA,NA,NA,0,0
1053_10,NA,NA,NA,NA,NA,NA,NA,0,NA
1053_11,24000,NA,NA,NA,NA,NA,NA,0,0
1053_13,6400,NA,NA,NA,NA,NA,NA,0,0
1053_15,1200,NA,NA,NA,NA,NA,NA,0,0
1053_16,4000,NA,NA,NA,NA,NA,NA,0,0
1053_17,10000,NA,NA,NA,NA,NA,NA,0,0
1053_18,NA,NA,NA,NA,NA,NA,NA,0,NA
1053_19,2400,NA,NA,NA,NA,NA,NA,0,0
1053_2,9000,NA,NA,NA,NA,NA,NA,0,0
1053_20,9360,NA,NA,NA,NA,NA,NA,0,0
1053_3,6000,NA,NA,NA,NA,NA,NA,0,0
1053_4,15600,NA,NA,NA,NA,NA,NA,0,0
1053_5,27000,NA,NA,NA,NA,NA,NA,0,0
1053_6,22200,NA,NA,NA,NA,NA,NA,0,0
1053_7,34000,NA,NA,NA,NA,NA,NA,0,0
1053_8,NA,NA,NA,NA,NA,NA,NA,0,NA
1053_9,1200,NA,NA,NA,NA,NA,NA,0,0
1054_1,12500,NA,NA,NA,NA,NA,NA,0,0
1054_10,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_11,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_12,2400,NA,NA,NA,NA,NA,NA,0,0
1054_13,2400,NA,NA,NA,NA,NA,NA,0,0
1054_14,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_15,14000,NA,NA,NA,NA,NA,NA,0,0
1054_16,13000,NA,NA,NA,NA,NA,NA,0,0
1054_17,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_18,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_19,4000,NA,NA,NA,NA,NA,NA,0,0
1054_2,3200,NA,NA,NA,NA,NA,NA,0,0
1054_20,5400,NA,NA,NA,NA,NA,NA,0,0
1054_3,12000,NA,NA,NA,NA,NA,NA,0,0
1054_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_6,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_7,9400,NA,NA,NA,NA,NA,NA,0,0
1054_8,NA,NA,NA,NA,NA,NA,NA,0,NA
1054_9,5200,NA,NA,NA,NA,NA,NA,0,0
1055_1,NA,NA,NA,NA,NA,NA,NA,0,NA
1055_2,NA,NA,NA,NA,NA,NA,NA,0,NA
1055_3,NA,NA,NA,NA,NA,NA,NA,0,NA
