vid,estr_acc,estr_habit,estr_serv,estr_ubi,estr_aseq,estr_cul,estr_ten,estr_satis
1649_2,Media,Media,Muy Alta,Alta,Alta,Alta,Media,Muy baja
1649_3,Media,Media,Muy Alta,Alta,NA,Alta,Baja,NA
1649_4,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Alta
1649_5,Baja,Alta,Muy Alta,Alta,NA,Alta,Media,Muy baja
1650_2,Media,Media,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Baja
1650_3,Media,Alta,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1650_4,Baja,Media,Muy Alta,Alta,NA,Baja,Muy Alta,Media
1650_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1651_1,Baja,Baja,Muy Alta,Alta,Muy Alta,Baja,Alta,Media
1651_3,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1651_5,Muy baja,Baja,Alta,Media,NA,Baja,Muy Alta,Media
1652_1,Muy baja,Media,Muy Alta,Muy baja,Muy Alta,Alta,Baja,NA
1652_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1653_1,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1653_2,Media,Media,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
1653_3,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1653_4,Media,Alta,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
1654_2,Muy baja,Alta,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Baja
1654_3,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1654_4,Muy baja,Media,Muy Alta,Muy baja,Muy Alta,Baja,Muy Alta,Baja
1654_5,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1655_1,Muy baja,Media,Muy Alta,Media,NA,Alta,Muy baja,NA
1655_2,Muy baja,Media,Muy Alta,Media,Alta,Baja,Media,Media
1655_3,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1655_5,Baja,Baja,Muy Alta,Media,NA,Baja,Baja,NA
1656_2,Muy baja,Media,Muy Alta,Muy baja,Muy Alta,Alta,Muy Alta,Baja
1656_3,Media,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1656_4,Muy baja,Media,Muy Alta,Media,Muy Alta,Alta,Muy baja,NA
1657_1,Muy baja,Baja,Muy Alta,Muy baja,Muy Alta,Baja,Muy Alta,Media
1657_2,Media,Media,Muy Alta,Muy Alta,Media,Alta,Media,Muy baja
1657_4,Alta,Baja,Muy Alta,Muy baja,Muy Alta,Baja,Muy Alta,Muy Alta
1657_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1659_1,Media,Media,Muy Alta,Muy Alta,NA,Alta,Baja,NA
1659_2,Media,Alta,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1659_3,Baja,Muy Alta,Muy Alta,Alta,Muy Alta,Alta,Media,Muy baja
1659_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1659_5,Baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1660_1,Baja,Alta,Muy Alta,Alta,NA,Baja,Baja,NA
1660_2,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1660_3,Baja,Media,Muy Alta,Muy Alta,Alta,Alta,Media,Muy baja
1660_5,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1661_1,Muy baja,Muy Alta,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1661_2,Muy baja,Alta,Muy Alta,Muy Alta,Muy Alta,Alta,Media,Baja
1661_3,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1661_4,Alta,Media,Muy Alta,Alta,Muy Alta,Alta,Media,Baja
1661_5,Baja,Media,Muy Alta,Media,Muy Alta,Alta,Media,Baja
1662_2,Muy baja,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Baja
1662_3,Media,Media,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1662_4,Media,Media,Muy Alta,Media,Muy Alta,Alta,Media,Alta
1663_2,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
1663_3,Media,Media,Muy Alta,Muy Alta,NA,Baja,Media,Muy baja
1663_4,Muy Alta,Media,Muy Alta,Alta,NA,Alta,Muy Alta,Media
1663_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1664_1,Media,Media,Muy Alta,Muy Alta,NA,Alta,Media,Muy baja
1664_5,Muy baja,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
1665_3,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1665_4,Media,Media,Muy Alta,Media,Muy Alta,Alta,Muy baja,NA
1665_5,Media,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy baja,NA
1666_1,Muy baja,Baja,Muy Alta,Alta,Muy Alta,Baja,Alta,Alta
1666_3,Muy baja,Baja,Muy Alta,Alta,Muy Alta,Baja,Muy baja,NA
1666_5,Media,Media,Muy Alta,Media,NA,Baja,Media,Media
1667_1,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
1667_2,Muy Alta,Baja,Alta,Baja,NA,Baja,Muy Alta,Muy Alta
1667_5,Muy baja,Media,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1667_6,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1667_7,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
1667_8,Muy baja,Baja,Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1667_9,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Baja
1667_10,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy Alta,Muy baja
1667_13,Muy Alta,Baja,Muy Alta,Muy Alta,NA,Baja,Alta,Baja
1667_14,Muy baja,Baja,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1667_15,Muy baja,Baja,Alta,Baja,Muy Alta,Alta,Muy Alta,Baja
1667_19,Muy Alta,Media,Alta,Baja,NA,Alta,Muy Alta,Muy baja
1667_20,Muy baja,Baja,Alta,Baja,Muy Alta,Alta,Baja,NA
1668_1,Muy baja,Baja,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
1668_2,Muy baja,Baja,Muy Alta,Media,Muy Alta,Alta,Alta,Baja
1668_3,Muy baja,Baja,Muy Alta,Baja,Muy Alta,Alta,Muy Alta,Baja
1668_4,Muy baja,Alta,Muy Alta,Media,Muy Alta,Alta,Alta,Baja
1668_5,Muy baja,Baja,Muy Alta,Baja,Muy Alta,Baja,Muy baja,NA
1668_6,Media,Baja,Alta,Alta,Muy Alta,Alta,Alta,Muy baja
1668_7,Muy baja,Baja,Alta,Media,Muy Alta,Baja,Baja,NA
1668_8,Media,Muy baja,Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Media
1668_9,Muy baja,Muy baja,Media,Media,Muy Alta,Baja,Baja,NA
1668_10,Muy baja,Media,Muy Alta,Media,Alta,Alta,Media,Muy baja
1668_11,Alta,Media,Muy Alta,Baja,Muy Alta,Baja,Baja,NA
1668_12,Muy baja,Baja,Alta,Alta,Muy Alta,Alta,Media,Muy baja
1668_13,Baja,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
1668_14,Muy baja,Baja,Alta,Muy baja,Muy Alta,Baja,Muy Alta,Muy Alta
1668_15,Baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1668_17,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1668_18,Muy baja,Baja,Muy Alta,Media,Muy Alta,Alta,Alta,Muy baja
1668_19,Muy baja,Baja,Muy Alta,Alta,Muy Alta,Alta,Alta,Baja
1668_20,Muy baja,Baja,Alta,Media,Muy Alta,Baja,Muy baja,NA
1669_1,Muy baja,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1669_2,Muy baja,Baja,Alta,Baja,Muy Alta,Baja,Baja,NA
1669_3,Muy baja,Media,Muy Alta,Muy Alta,NA,Alta,Muy Alta,Muy baja
1669_4,Muy baja,Baja,Muy Alta,Media,NA,Alta,Muy Alta,Muy baja
1669_5,Muy baja,Baja,Alta,Alta,Muy Alta,Baja,Baja,NA
1669_6,Muy baja,Baja,Muy Alta,Muy baja,Muy Alta,Alta,Muy Alta,Media
1669_7,Muy Alta,Muy baja,Baja,Media,Muy Alta,Baja,Muy baja,Muy Alta
1669_8,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Baja,Muy baja,NA
1669_9,Muy baja,Baja,Muy Alta,Media,Muy Alta,Alta,Baja,NA
1669_11,Muy Alta,Baja,Alta,Media,NA,Baja,Muy baja,NA
1669_12,Muy Alta,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Alta,Muy baja
1669_13,Muy baja,Baja,Alta,Baja,Muy Alta,Baja,Baja,NA
1669_14,Muy baja,Baja,Muy Alta,Muy baja,Muy Alta,Baja,Muy Alta,Muy baja
1669_15,Muy baja,Media,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1669_16,Muy baja,Baja,Muy Alta,Baja,Muy Alta,Baja,Muy Alta,Baja
1669_17,Muy baja,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1669_18,Media,Alta,Muy Alta,Media,Muy Alta,Baja,Baja,NA
1669_19,Media,Muy baja,Alta,Baja,Muy Alta,Baja,Media,Media
1669_20,Media,Media,Muy Alta,Media,Muy Alta,Alta,Muy Alta,Muy baja
1670_1,Media,Baja,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
1670_2,Muy baja,Baja,Muy Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
1670_3,Media,Media,Muy Alta,Muy Alta,NA,Alta,Muy baja,NA
1670_4,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Baja,NA
1670_5,Media,Baja,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1670_6,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
1670_7,Media,Baja,Muy baja,Media,Muy Alta,Baja,Baja,NA
1670_9,Muy baja,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1670_10,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1670_11,Muy Alta,Media,Muy Alta,Muy baja,Muy Alta,Alta,Muy Alta,Muy Alta
1670_13,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Muy baja
1670_14,Media,Media,Muy Alta,Muy Alta,Muy Alta,Alta,Muy Alta,Media
1670_15,Media,Baja,Muy Alta,Alta,Muy Alta,Alta,Muy baja,NA
1670_18,Muy baja,Media,Muy Alta,Media,Muy Alta,Baja,Muy baja,NA
1670_19,Media,Baja,Muy Alta,Alta,Muy Alta,Baja,Baja,NA
1671_1,Muy baja,Baja,Alta,Baja,Muy Alta,Baja,Baja,NA
1671_2,Baja,Media,Alta,Media,Muy Alta,Baja,Muy Alta,Baja
1671_3,Baja,Baja,Muy Alta,Media,Muy Alta,Baja,Muy Alta,Media
1671_4,Media,Media,Muy Alta,Alta,Muy Alta,Alta,Baja,NA
