uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,CONSEC,P7_4_2,P7_4_3,P7_5,P7_6,P7_7,P7_8,P7_8A,P7_8B,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
2629_5_1,2629_5,2629,5,1,1,1,NA,3,3,1,200000,1,50000,10,1,144,2629,349
2638_1_1,2638_1,2638,1,1,1,4,NA,3,5,2,NA,2,NA,10,1,144,2638,729
2667_2_1,2667_2,2667,2,1,1,1,NA,5,1,2,NA,2,NA,10,1,143,2667,282
2688_2_1,2688_2,2688,2,1,1,1,NA,4,3,1,10000,1,10000,10,1,143,2688,298
2726_2_1,2726_2,2726,2,1,1,1,NA,6,1,2,NA,2,NA,10,1,144,2726,379
2737_2_1,2737_2,2737,2,1,1,1,NA,2,1,2,NA,2,NA,10,1,142,2737,282
2759_2_1,2759_2,2759,2,1,1,2,NA,3,1,2,NA,2,NA,10,1,146,2759,265
2796_3_1,2796_3,2796,3,1,1,2,NA,4,1,2,NA,2,NA,10,1,146,2796,249
2837_13_1,2837_13,2837,13,1,1,1,2,3,1,2,NA,2,NA,10,3,152,2837,288
2839_5_1,2839_5,2839,5,1,1,1,NA,4,1,2,NA,1,30000,10,3,151,2839,296
2862_4_1,2862_4,2862,4,1,1,1,NA,7,2,2,NA,2,NA,10,4,153,2862,341
2909_4_1,2909_4,2909,4,1,1,2,NA,2,1,1,2012,1,4000,11,1,165,2909,766
2948_2_1,2948_2,2948,2,1,1,1,NA,2,1,2,NA,2,NA,11,1,157,2948,1135
2956_1_1,2956_1,2956,1,1,2,1,NA,3,1,9,NA,2,NA,11,1,158,2956,849
2956_1_1,2956_1,2956,1,1,1,1,NA,4,1,2,NA,1,999999999,11,1,158,2956,849
2970_5_1,2970_5,2970,5,1,1,1,NA,5,1,2,NA,2,NA,11,1,156,2970,816
2970_5_1,2970_5,2970,5,1,2,3,NA,5,3,2,NA,2,NA,11,1,156,2970,816
