...1,...2,vid,EST_DIS,UPM_DIS,FACTOR,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,p2distance.3,estratos...stratumID...
9664,9664,2325_2,136,2325,1694,5,5,5,5,5,5,5,5,4,5,5,30.230008817337733,Muy Alta
9665,9665,2325_3,136,2325,1694,5,4,5,5,5,5,4,5,4,4,4,28.359859480462518,Muy Alta
9666,9666,2326_5,136,2326,2702,3,3,2,3,5,4,5,4,4,5,3,24.598180410594253,Media
9667,9667,2327_3,137,2327,1914,5,5,5,5,5,5,5,4,5,5,4,31.007617611441216,Muy Alta
9668,9668,2327_5,137,2327,1914,5,4,3,5,5,4,5,5,4,5,4,27.86268660462484,Alta
9669,9669,2328_1,135,2328,2836,4,4,4,3,4,4,4,4,4,5,2,25.80960966686677,Alta
9670,9670,2328_2,135,2328,2836,3,5,2,5,5,5,4,3,4,4,2,27.127616769175315,Alta
9671,9671,2328_3,135,2328,2836,5,5,5,5,5,5,5,5,5,5,2,33.165012616316254,Muy Alta
9672,9672,2329_2,137,2329,2047,5,5,5,5,5,5,5,5,5,5,5,31.813783348847515,Muy Alta
9673,9673,2329_3,137,2329,2047,4,5,5,5,5,5,5,5,5,5,5,31.231317522549773,Muy Alta
9674,9674,2329_4,137,2329,2047,5,5,5,5,5,5,5,5,5,5,5,31.813783348847515,Muy Alta
9675,9675,2329_5,137,2329,2047,4,4,4,4,4,4,5,5,5,5,5,27.311231794804854,Alta
9676,9676,2330_2,135,2330,1277,4,3,4,4,4,4,5,5,5,5,5,25.139675404665184,Media
9677,9677,2330_3,135,2330,1277,4,4,4,4,5,5,5,5,5,5,5,27.76431713289799,Alta
9678,9678,2330_4,135,2330,1277,5,5,5,5,5,5,5,5,5,5,5,30.495093189213897,Muy Alta
9679,9679,2331_2,136,2331,1831,5,5,5,5,5,5,4,5,4,4,2,29.44734980430598,Muy Alta
9680,9680,2331_3,136,2331,1831,4,5,4,5,5,4,3,3,4,4,2,25.817092159933814,Alta
9681,9681,2331_5,136,2331,1831,5,5,5,5,5,5,5,5,5,5,2,31.44386507030094,Muy Alta
9682,9682,2332_2,137,2332,2140,5,5,5,5,5,5,5,5,5,5,2,31.97305371877729,Muy Alta
9683,9683,2332_3,137,2332,2140,5,5,5,5,5,5,4,4,4,5,2,29.84259133507275,Muy Alta
9684,9684,2332_4,137,2332,2140,5,5,5,5,5,3,5,5,3,3,2,27.63547042257317,Alta
9685,9685,2333_1,137,2333,2102,5,5,5,5,5,5,5,5,5,5,4,31.90797550310706,Muy Alta
