uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
48_4_1,48_4,48,4,1,2,2,NA,NA,2,1,1,1,1,48,320
49_1_1,49_1,49,1,1,2,2,NA,NA,2,1,1,1,1,49,171
49_2_1,49_2,49,2,1,1,2,NA,NA,1,2,1,1,1,49,171
49_3_1,49_3,49,3,1,1,2,NA,NA,1,2,1,1,1,49,171
49_4_1,49_4,49,4,1,2,2,NA,NA,2,2,1,1,1,49,171
49_5_1,49_5,49,5,1,5,2,NA,NA,1,2,1,1,1,49,171
50_1_1,50_1,50,1,1,1,2,NA,NA,1,2,1,1,2,50,212
50_3_1,50_3,50,3,1,3,2,NA,1,1,1,1,1,2,50,212
50_3_2,50_3,50,3,2,2,2,NA,2,NA,2,1,1,2,50,212
50_4_1,50_4,50,4,1,1,2,NA,NA,1,2,1,1,2,50,212
50_5_1,50_5,50,5,1,1,2,NA,NA,1,2,1,1,2,50,212
51_1_1,51_1,51,1,1,1,2,NA,NA,1,2,1,1,1,51,224
51_2_1,51_2,51,2,1,1,2,NA,NA,1,2,1,1,1,51,224
51_3_1,51_3,51,3,1,3,2,NA,NA,1,2,1,1,1,51,224
51_4_1,51_4,51,4,1,2,2,NA,NA,4,2,1,1,1,51,224
51_5_1,51_5,51,5,1,2,2,NA,NA,2,2,1,1,1,51,224
52_2_1,52_2,52,2,1,1,2,NA,NA,1,1,1,1,3,52,232
52_3_1,52_3,52,3,1,1,2,NA,NA,1,2,1,1,3,52,232
52_4_1,52_4,52,4,1,2,2,NA,NA,2,1,1,1,3,52,232
52_5_1,52_5,52,5,1,1,2,NA,NA,1,1,1,1,3,52,232
53_1_1,53_1,53,1,1,5,1,1,NA,2,1,1,1,1,53,188
53_2_1,53_2,53,2,1,4,1,1,NA,4,2,1,1,1,53,188
53_3_1,53_3,53,3,1,4,2,NA,NA,4,2,1,1,1,53,188
53_4_1,53_4,53,4,1,1,2,NA,NA,1,2,1,1,1,53,188
53_5_1,53_5,53,5,1,2,2,NA,NA,1,2,1,1,1,53,188
54_1_1,54_1,54,1,1,1,2,NA,NA,1,2,1,1,2,54,238
54_2_1,54_2,54,2,1,1,2,NA,NA,1,2,1,1,2,54,238
54_3_1,54_3,54,3,1,1,2,NA,NA,1,2,1,1,2,54,238
54_4_1,54_4,54,4,1,1,2,NA,NA,1,2,1,1,2,54,238
54_5_1,54_5,54,5,1,2,2,NA,NA,2,2,1,1,2,54,238
55_1_1,55_1,55,1,1,1,2,NA,NA,1,2,1,1,1,55,212
55_2_1,55_2,55,2,1,1,2,NA,NA,1,2,1,1,1,55,212
55_4_1,55_4,55,4,1,1,1,1,NA,1,2,1,1,1,55,212
55_5_1,55_5,55,5,1,1,1,1,NA,1,2,1,1,1,55,212
56_1_1,56_1,56,1,1,1,2,NA,NA,1,1,1,1,1,56,177
56_2_1,56_2,56,2,1,1,2,NA,NA,1,2,1,1,1,56,177
56_3_1,56_3,56,3,1,3,2,NA,NA,3,2,1,1,1,56,177
56_5_1,56_5,56,5,1,1,2,NA,NA,1,2,1,1,1,56,177
57_1_1,57_1,57,1,1,1,1,1,NA,1,2,1,1,1,57,195
57_2_1,57_2,57,2,1,1,2,NA,NA,1,2,1,1,1,57,195
57_4_1,57_4,57,4,1,2,2,NA,NA,2,2,1,1,1,57,195
