"","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"33604","7375_3",477,7375,166,3,3,3,2,3,2,4,4,4,4,4
"33605","7376_5",478,7376,149,3,4,4,4,4,2,4,2,4,4,4
"33606","7377_3",478,7377,161,1,1,1,1,1,1,1,1,1,1,1
"33607","7377_4",478,7377,161,1,1,1,1,2,1,2,2,2,1,2
"33608","7377_5",478,7377,161,3,2,4,1,1,1,4,1,3,2,2
"33609","7378_1",477,7378,202,4,2,4,1,2,2,2,2,2,2,2
"33610","7380_1",479,7380,145,1,1,1,1,1,1,1,1,1,1,4
"33611","7380_2",479,7380,145,2,2,4,2,1,2,2,3,3,3,3
"33612","7380_3",479,7380,145,2,1,1,1,1,1,1,1,1,1,2
"33613","7380_4",479,7380,145,2,3,2,1,1,1,2,2,3,2,4
"33614","7380_5",479,7380,145,2,2,3,2,2,2,3,2,2,2,2
"33615","7381_3",477,7381,211,2,2,3,3,2,1,3,2,2,2,1
"33616","7381_4",477,7381,211,4,4,4,1,1,1,2,3,3,3,1
"33617","7382_1",477,7382,216,2,3,2,1,1,1,1,1,1,1,1
"33618","7382_3",477,7382,216,3,2,3,2,2,1,2,3,3,3,3
"33619","7382_4",477,7382,216,2,3,2,2,2,2,2,2,2,4,2
"33620","7382_5",477,7382,216,2,2,2,1,1,1,2,1,1,4,3
"33621","7383_1",485,7383,223,1,1,1,1,1,1,1,1,1,1,1
"33622","7383_3",485,7383,223,1,1,1,1,1,1,1,1,3,3,1
"33623","7383_6",485,7383,223,4,4,4,3,3,1,2,2,2,3,3
"33624","7383_7",485,7383,223,2,2,3,3,2,2,3,3,3,2,1
"33625","7383_13",485,7383,223,1,1,1,2,2,2,2,2,2,3,2
"33626","7383_15",485,7383,223,1,1,1,1,1,1,1,1,1,1,2
"33627","7383_17",485,7383,223,1,1,1,1,1,1,2,1,1,1,3
"33628","7384_1",485,7384,202,2,2,2,2,2,1,1,2,2,3,4
"33629","7384_2",485,7384,202,2,2,3,1,1,1,2,2,2,3,3
