Estado,credito,acc_bien,acc_mal,aseq_bien,aseq_mal,cul_bien,cul_mal,habit_bien,habit_mal,satis_bien,satis_mal,serv_bien,serv_mal,ten_bien,ten_mal,ubi_bien,ubi_mal
Quintana Roo,Otro,0.51052144642822,0.4894785535717801,0.8197279581110608,0.1802720418889392,0.5633747367177812,0.43662526328221885,0.8425031003326706,0.15749689966732938,0.6501446821912954,0.34985531780870455,0.9245487293557213,0.07545127064427866,0.9755122930650971,0.024487706934902858,0.7383712919037027,0.2616287080962973
San Luis Potosi,Infonavit,0.4121696119567548,0.5878303880432453,0.8078006799179198,0.19219932008208018,0.63777525956326,0.3622247404367401,0.9338611374843037,0.0661388625156963,0.7808260083917797,0.21917399160822026,1,0,0.9925729686686472,0.007427031331352791,0.8236807448470185,0.17631925515298152
San Luis Potosi,Ninguno,0.48758115138983316,0.5124188486101668,0.7724344184047653,0.22756558159523466,0.5981460672178327,0.4018539327821673,0.582886259480138,0.41711374051986205,0.46280333799487816,0.5371966620051218,0.7555013861344286,0.24449861386557137,0.6281901346681555,0.37180986533184446,0.5306023960575308,0.46939760394246927
San Luis Potosi,Otro,0.38802616267405,0.61197383732595,0.7503042949052339,0.24969570509476613,0.665850755052633,0.33414924494736703,0.8852105988256223,0.1147894011743777,0.8517047202493212,0.1482952797506788,0.9228629134732421,0.07713708652675788,0.9954121691210893,0.004587830878910691,0.7951928092773163,0.2048071907226837
Sinaloa,Infonavit,0.22516627718856733,0.7748337228114327,0.7798669782491462,0.22013302175085386,0.5318425310084487,0.4681574689915513,0.8896494697105878,0.11035053028941219,0.6912529210857451,0.3087470789142549,0.9965989573970879,0.003401042602912098,0.9923206902750314,0.007679309724968542,0.7170375696566601,0.28296243034333995
Sinaloa,Ninguno,0.31348008719466436,0.6865199128053356,0.7774456901340732,0.22255430986592684,0.5248231904020896,0.4751768095979104,0.7745884730213081,0.22541152697869188,0.4376187799894093,0.5623812200105907,0.9348427799634198,0.06515722003658017,0.6546568253215385,0.34534317467846154,0.5512398600467161,0.44876013995328395
Sinaloa,Otro,0.2571164339221308,0.7428835660778692,0.8273004716544899,0.17269952834551003,0.6087117358734856,0.3912882641265144,0.9183945251086655,0.0816054748913345,0.747720336631832,0.25227966336816793,0.980144270785166,0.019855729214833997,0.9952094700823083,0.004790529917691667,0.724738740405068,0.27526125959493203
Sonora,Infonavit,0.3172508710623123,0.6827491289376877,0.8352886401195184,0.16471135988048155,0.4580278432957621,0.5419721567042379,0.8742958593202388,0.12570414067976116,0.6586407846467912,0.34135921535320873,1,0,1,0,0.7528690055307979,0.247130994469202
Sonora,Ninguno,0.40950081622132484,0.5904991837786752,0.8514442821548243,0.1485557178451757,0.501730389208695,0.4982696107913051,0.6558931179654609,0.34410688203453904,0.37926454162728757,0.6207354583727124,0.928512758828078,0.07148724117192198,0.5470091932296589,0.4529908067703411,0.7433920439900336,0.2566079560099665
Sonora,Otro,0.40423371897835897,0.595766281021641,0.7397147365987516,0.2602852634012484,0.5816840391206891,0.4183159608793109,0.8535286017268587,0.1464713982731412,0.7285072421522409,0.271492757847759,0.9593816277503593,0.040618372249640655,0.9935468955742961,0.0064531044257038605,0.7997024736900299,0.20029752630997014
Tabasco,Infonavit,0.5303022514649943,0.4696977485350057,0.7548576128302663,0.24514238716973374,0.3947774236660841,0.605222576333916,0.9387529556903464,0.061247044309653546,0.5014392926904493,0.49856070730955077,1,0,1,0,0.754112264829855,0.24588773517014498
Tabasco,Ninguno,0.561679794713186,0.43832020528681404,0.7754309398086061,0.2245690601913939,0.3610501484829383,0.6389498515170617,0.40188072436102334,0.5981192756389766,0.2867193931396061,0.7132806068603939,0.8421741545043991,0.15782584549560086,0.697978739171817,0.30202126082818304,0.5553029748373652,0.4446970251626348
