vid,EST_DIS,UPM_DIS,FACTOR
244_3,4,244,311
244_4,4,244,311
244_5,4,244,311
245_1,5,245,330
245_3,5,245,330
245_4,5,245,330
245_5,5,245,330
246_1,4,246,244
246_2,4,246,244
246_3,4,246,244
246_4,4,246,244
246_5,4,246,244
247_1,4,247,173
247_2,4,247,173
247_3,4,247,173
247_4,4,247,173
247_5,4,247,173
248_1,4,248,182
248_2,4,248,182
248_3,4,248,182
248_4,4,248,182
248_5,4,248,182
249_1,5,249,371
249_2,5,249,371
249_3,5,249,371
249_4,5,249,371
249_5,5,249,371
250_1,4,250,184
250_2,4,250,184
250_3,4,250,184
250_4,4,250,184
250_5,4,250,184
251_1,4,251,247
251_2,4,251,247
251_3,4,251,247
251_4,4,251,247
251_5,4,251,247
252_1,5,252,215
252_2,5,252,215
252_3,5,252,215
252_4,5,252,215
253_1,7,253,174
253_2,7,253,174
253_3,7,253,174
253_4,7,253,174
253_5,7,253,174
253_6,7,253,174
253_7,7,253,174
253_8,7,253,174
253_9,7,253,174
253_10,7,253,174
253_11,7,253,174
253_12,7,253,174
253_13,7,253,174
253_14,7,253,174
253_16,7,253,174
253_17,7,253,174
253_18,7,253,174
253_19,7,253,174
253_20,7,253,174
254_1,7,254,196
254_2,7,254,196
254_3,7,254,196
254_4,7,254,196
254_6,7,254,196
254_7,7,254,196
254_8,7,254,196
254_9,7,254,196
254_10,7,254,196
254_11,7,254,196
254_13,7,254,196
254_14,7,254,196
254_15,7,254,196
254_16,7,254,196
254_17,7,254,196
254_18,7,254,196
254_19,7,254,196
254_20,7,254,196
255_1,8,255,202
255_2,8,255,202
255_3,8,255,202
255_4,8,255,202
255_5,8,255,202
255_6,8,255,202
255_7,8,255,202
255_8,8,255,202
255_9,8,255,202
255_10,8,255,202
255_11,8,255,202
255_12,8,255,202
255_13,8,255,202
255_14,8,255,202
255_15,8,255,202
255_16,8,255,202
255_17,8,255,202
255_18,8,255,202
255_19,8,255,202
255_20,8,255,202
256_1,7,256,151
256_2,7,256,151
256_3,7,256,151
256_4,7,256,151
256_5,7,256,151
256_6,7,256,151
256_7,7,256,151
256_8,7,256,151
256_9,7,256,151
256_10,7,256,151
256_11,7,256,151
256_13,7,256,151
256_14,7,256,151
256_15,7,256,151
256_16,7,256,151
256_17,7,256,151
256_18,7,256,151
256_19,7,256,151
256_20,7,256,151
257_1,7,257,163
257_2,7,257,163
257_3,7,257,163
257_4,7,257,163
257_5,7,257,163
257_6,7,257,163
257_7,7,257,163
257_8,7,257,163
257_9,7,257,163
257_10,7,257,163
257_11,7,257,163
257_12,7,257,163
257_13,7,257,163
257_14,7,257,163
257_15,7,257,163
257_16,7,257,163
257_17,7,257,163
257_18,7,257,163
257_19,7,257,163
257_20,7,257,163
258_1,7,258,169
258_2,7,258,169
258_3,7,258,169
258_4,7,258,169
258_5,7,258,169
258_6,7,258,169
258_7,7,258,169
258_8,7,258,169
258_10,7,258,169
258_11,7,258,169
258_12,7,258,169
258_13,7,258,169
258_14,7,258,169
258_15,7,258,169
258_16,7,258,169
258_18,7,258,169
258_19,7,258,169
258_20,7,258,169
259_1,8,259,230
259_3,8,259,230
259_4,8,259,230
259_5,8,259,230
259_6,8,259,230
259_7,8,259,230
259_8,8,259,230
259_9,8,259,230
259_11,8,259,230
259_12,8,259,230
259_13,8,259,230
259_14,8,259,230
259_15,8,259,230
259_16,8,259,230
259_17,8,259,230
259_18,8,259,230
259_19,8,259,230
260_2,10,260,215
260_3,10,260,215
260_4,10,260,215
260_5,10,260,215
260_6,10,260,215
260_8,10,260,215
260_9,10,260,215
260_10,10,260,215
260_11,10,260,215
260_12,10,260,215
260_13,10,260,215
260_14,10,260,215
260_15,10,260,215
260_16,10,260,215
260_17,10,260,215
260_18,10,260,215
260_19,10,260,215
260_20,10,260,215
261_1,10,261,176
261_2,10,261,176
261_3,10,261,176
261_4,10,261,176
261_5,10,261,176
261_6,10,261,176
261_7,10,261,176
261_8,10,261,176
261_10,10,261,176
261_11,10,261,176
261_12,10,261,176
261_13,10,261,176
261_14,10,261,176
261_15,10,261,176
261_16,10,261,176
261_17,10,261,176
261_20,10,261,176
262_1,6,262,168
262_2,6,262,168
262_3,6,262,168
262_4,6,262,168
262_5,6,262,168
263_1,9,263,216
263_2,9,263,216
263_3,9,263,216
263_4,9,263,216
263_5,9,263,216
263_6,9,263,216
263_7,9,263,216
263_8,9,263,216
263_9,9,263,216
263_10,9,263,216
263_11,9,263,216
263_12,9,263,216
263_13,9,263,216
263_14,9,263,216
263_15,9,263,216
263_17,9,263,216
263_18,9,263,216
263_20,9,263,216
264_2,9,264,216
264_4,9,264,216
264_5,9,264,216
264_6,9,264,216
264_7,9,264,216
264_9,9,264,216
264_11,9,264,216
264_12,9,264,216
264_13,9,264,216
264_14,9,264,216
264_15,9,264,216
264_16,9,264,216
264_17,9,264,216
264_18,9,264,216
264_20,9,264,216
265_1,6,265,164
265_2,6,265,164
265_3,6,265,164
265_4,6,265,164
265_5,6,265,164
266_1,6,266,291
266_2,6,266,291
266_3,6,266,291
266_4,6,266,291
266_5,6,266,291
267_1,10,267,311
267_2,10,267,311
267_3,10,267,311
267_4,10,267,311
267_5,10,267,311
267_7,10,267,311
267_8,10,267,311
267_9,10,267,311
267_10,10,267,311
267_11,10,267,311
267_14,10,267,311
267_16,10,267,311
267_17,10,267,311
267_18,10,267,311
267_20,10,267,311
268_1,10,268,231
268_2,10,268,231
268_3,10,268,231
268_4,10,268,231
268_5,10,268,231
268_6,10,268,231
268_7,10,268,231
268_10,10,268,231
268_11,10,268,231
268_12,10,268,231
268_13,10,268,231
268_14,10,268,231
268_15,10,268,231
268_16,10,268,231
268_17,10,268,231
268_18,10,268,231
268_19,10,268,231
268_20,10,268,231
269_1,10,269,197
269_2,10,269,197
269_4,10,269,197
269_5,10,269,197
269_6,10,269,197
269_7,10,269,197
269_8,10,269,197
269_9,10,269,197
269_10,10,269,197
269_11,10,269,197
269_12,10,269,197
269_13,10,269,197
269_14,10,269,197
269_15,10,269,197
269_16,10,269,197
269_17,10,269,197
269_18,10,269,197
269_19,10,269,197
269_20,10,269,197
270_1,2,270,206
270_2,2,270,206
270_3,2,270,206
270_4,2,270,206
270_5,2,270,206
271_1,11,271,193
271_2,11,271,193
271_4,11,271,193
271_5,11,271,193
271_6,11,271,193
271_8,11,271,193
271_9,11,271,193
271_10,11,271,193
271_11,11,271,193
271_12,11,271,193
271_13,11,271,193
